5-Mar	276	64.44	-36.15	13.63	13.73	3.57	2.49	2.44	272.38	270.35	270.45	103.89	66.1	86.46	63.91	104.48	45.77	65.67	46.32
5-Mar	276	64.34	-35.98	14.89	14.93	4.09	2.64	2.57	274.23	271.1	271.23	146.74	97.46	127.98	94.82	137.92	76.53	110.33	78.84
5-Mar	276	64.25	-35.79	15.44	15.42	4.91	2.86	2.79	276.77	271.95	272.1	211.55	142.08	188.06	138.16	206	122.64	178.41	128.12
5-Mar	276	64.15	-35.62	16.03	15.99	5.04	2.99	2.95	277.12	272.56	272.77	194.34	142.91	188.29	140.47	184.01	117.82	170.51	123.62
5-Mar	276	64.05	-35.45	16.79	16.78	5.07	3.08	3	277.19	273.12	273.15	220.37	146.17	191.85	145.17	216.31	114.43	164.9	120.45
5-Mar	276	63.92	-35.2	17.16	17.15	5.1	3.13	3.07	277.26	273.47	273.55	210.12	144.73	189.41	144.84	197.03	107.13	153.86	112.95
5-Mar	276	63.89	-35.03	17	16.82	5.15	3.15	3.09	277.42	273.47	273.68	196.9	144.81	189.74	144.75	157.62	105.73	152.04	111.33
5-Mar	276	63.97	-35.15	16.69	16.59	5.04	3.1	3.04	277.1	273.13	273.45	187.92	138.86	181.86	138.24	144.4	102.28	146.93	107.23
5-Mar	276	64.06	-35.31	16.52	16.49	5.08	3.07	3.01	277.23	272.91	273.25	191.43	143.99	189.06	142.49	142.59	110.61	159.44	116.35
5-Mar	276	64.14	-35.5	15.89	15.91	5.04	3.07	2.99	277.13	272.63	272.89	201.61	138.97	183.06	136.7	171.15	114.3	165.37	119.64
5-Mar	276	64.27	-35.5	16.15	16.11	4.96	2.89	2.88	276.9	272.22	272.56	178.36	144.36	190.11	141.31	161.66	118.5	171.38	124.36
5-Mar	276	64.33	-35.32	17.4	17.12	5.01	2.84	2.84	277.05	272.28	272.59	178.81	159.27	209.22	157.5	163.65	128.75	185.73	136.38
5-Mar	276	64.39	-35.15	16.71	16.75	4.99	2.98	2.88	276.99	272.3	272.49	236.76	151.72	199.49	149.75	210.42	127.58	184.18	134.66
5-Mar	276	64.44	-34.97	16.22	16.4	5.01	3.01	2.87	277.05	272.48	272.46	274.16	150.81	198.63	148.74	264.67	127.34	184.22	134.17
5-Mar	276	64.5	-34.79	17.23	16.98	5.01	2.96	2.87	277.03	272.17	272.39	220.1	154.52	203.17	153.11	199.34	132.9	191.9	140.75
5-Mar	276	64.56	-34.61	17.96	17.73	5.01	2.79	2.76	277.03	272.05	272.36	203.42	170.21	223.32	169.54	184.76	139.63	201.12	148.49
